meas,biac,svrc,sdvc
AcX1,0.202576697472235,0.00130472493785494,0.0361209764244399
AcY1,9.80808806507226,0.0010606112093057,0.0325670264117819
AcZ1,-0.0751937738025664,0.00212823191802985,0.0461327640406452
GyX1,-0.0801363041735001,1.47106121110303e-06,0.00121287312242585
GyY1,-0.0119015306668424,1.97002515352286e-06,0.00140357584530472
GyZ1,-0.00525629130603042,1.23604640248251e-05,0.00351574515925501
0,0,0,0
AcX2,-0.307247752880136,0.00154636867294768,0.039323894427532
AcY2,9.49508413865694,0.00130561352928416,0.0361332745441672
AcZ2,-0.985699839349415,0.0025311468086054,0.0503105039589686
GyX2,-0.0182558973709696,4.59643093362998e-05,0.00677969832192405
GyY2,-0.0287577557353596,4.5772619121138e-05,0.00676554647616421
GyZ2,0.0860466371427093,4.580977934211e-05,0.00676829220277242
0,0,0,0
AcX,-0.0523355277039266,0.000740699886872951,0.0272158021537663
AcY,9.65158610186462,0.000601827675613911,0.0245321763326027
AcZ,-0.530446806575985,0.00116119218704571,0.0340762701457438
GyX,-0.0491961007722342,1.18933080014924e-05,0.0034486675690029
GyY,-0.0203296432011038,1.21720189803366e-05,0.00348884206870082
GyZ,0.0403951729183294,1.46619347961574e-05,0.00382909059649383
