meas,bias,svar,ssdv
AcX1,0.202576697472235,0.00130472493785494,0.0361209764244399
AcY1,9.42554458370345,0.000966518848264251,0.0310888862499809
AcZ1,2.71355023842683,0.00222232427907151,0.0471415345430281
GyX1,-0.0801363041735001,1.47106121110303e-06,0.00121287312242585
GyY1,-0.00991855509135889,1.01037309897163e-06,0.00100517316864888
GyZ1,-0.00842005317128597,1.33201160793777e-05,0.00364967342092106
0,0,0,0
AcX2,-0.307247752880136,0.00154636867294768,0.039323894427532
AcY2,9.38402793602592,0.00115905108268334,0.0340448392958953
AcZ2,1.75164113600877,0.00267770925520602,0.0517465868942679
GyX2,-0.0182558973709696,4.59643093362998e-05,0.00677969832192405
GyY2,-0.0520120690382508,4.58397496837173e-05,0.00677050586616076
GyZ2,0.0743355699033447,4.57426487795193e-05,0.00676333118954849
0,0,0,0
AcX,-0.0523355277039266,0.000740699886872951,0.0272158021537663
AcY,9.40478625986428,0.000544942077318342,0.0233439944593538
AcZ,2.23259568721777,0.00121807778534124,0.0349009711231829
GyX,-0.0491961007722342,1.18933080014924e-05,0.0034486675690029
GyY,-0.0309653120648062,1.1984364540543e-05,0.00346184409535482
GyZ,0.0329577583660275,1.48495892359529e-05,0.00385351647666815
